# GIRO DIDBase Ionosonde Measurements
# URSI-Code AU930
# Location: GEO 30.4N 262.3E
# Austin, Texas, United States of America
# Instrument: Ionosonde, Model: DGS-256
#
# The Measurements in this file have been manually scaled by David Themens.
#
# All GIROmeasurements are released under CC-BY-NC-SA 4.0 license
# Please followthe Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of AU930 data provider

yyyy.MM.dd (DDD) HH:mm:ss C-score   foF2  foF1   foE   hmF2   hmF1    hmEcale F2

2024.04.08 (099) 00:00:05     100 11.150  3.65  2.12  286.5  180.3  102.9   44.5
2024.04.08 (099) 00:05:05     100 11.350  3.35   ---  296.1  171.9    ---   51.7
2024.04.08 (099) 00:10:05     100 11.250  2.80   ---  282.9  161.5    ---   40.9
2024.04.08 (099) 00:15:05     100 11.350  2.92   ---  286.6  169.5    ---   43.5
2024.04.08 (099) 00:20:05     100 11.300   ---   ---  286.7    ---    ---   44.8
2024.04.08 (099) 00:25:05     100 11.350   ---   ---  281.9    ---    ---   40.2
2024.04.08 (099) 00:30:05     100 11.250   ---   ---  281.3    ---    ---   39.9
2024.04.08 (099) 00:35:05     100 11.150   ---   ---  276.8    ---    ---   37.2
2024.04.08 (099) 00:40:05     100 11.150   ---   ---  281.4    ---    ---   40.0
2024.04.08 (099) 00:45:05     100 11.250   ---   ---  284.3    ---    ---   41.3
2024.04.08 (099) 00:50:05     100 11.000   ---   ---  277.1    ---    ---   35.9
2024.04.08 (099) 00:55:05     100 10.950   ---   ---  278.4    ---    ---   37.4
2024.04.08 (099) 01:00:05     100 10.800   ---   ---  282.7    ---    ---   42.3
2024.04.08 (099) 01:05:05     100 10.800   ---   ---  282.5    ---    ---   40.2
2024.04.08 (099) 01:10:05     100 10.600   ---   ---  274.2    ---    ---   33.3
2024.04.08 (099) 01:15:05     100 10.500   ---   ---  274.1    ---    ---   32.9
2024.04.08 (099) 01:20:05     100 10.400   ---   ---  277.8    ---    ---   35.6
2024.04.08 (099) 01:25:05     100 10.200   ---   ---  281.1    ---    ---   38.6
2024.04.08 (099) 01:30:05     100 10.000   ---   ---  282.5    ---    ---   42.0
2024.04.08 (099) 01:35:05     100  9.800   ---   ---  284.0    ---    ---   41.9
2024.04.08 (099) 01:40:05     100  9.600   ---   ---  277.7    ---    ---   35.2
2024.04.08 (099) 01:45:05     100  9.400   ---   ---  281.0    ---    ---   40.5
2024.04.08 (099) 01:50:05     100  9.100   ---   ---  281.2    ---    ---   44.5
2024.04.08 (099) 01:55:05     100  8.900   ---   ---  278.2    ---    ---   40.3
2024.04.08 (099) 02:00:05     100  8.800   ---   ---  276.3    ---    ---   39.3
2024.04.08 (099) 02:05:05     100  8.600   ---   ---  279.2    ---    ---   37.9
2024.04.08 (099) 02:10:05     100  8.500   ---   ---  284.1    ---    ---   42.8
2024.04.08 (099) 02:15:05     100  8.200   ---   ---  279.0    ---    ---   42.5
2024.04.08 (099) 02:20:05     100  8.000   ---   ---  280.6    ---    ---   42.7
2024.04.08 (099) 02:25:05     100  7.800   ---   ---  278.0    ---    ---   45.0
2024.04.08 (099) 02:30:05     100  7.500   ---   ---  281.8    ---    ---   47.5
2024.04.08 (099) 02:35:05     100  7.300   ---   ---  287.0    ---    ---   53.0
2024.04.08 (099) 02:40:05     100  7.200   ---   ---  296.9    ---    ---   55.0
2024.04.08 (099) 02:45:05     100  7.100   ---   ---  301.8    ---    ---   59.0
2024.04.08 (099) 02:50:05     100  7.000   ---   ---  305.6    ---    ---   60.6
2024.04.08 (099) 02:55:05     100  6.800   ---   ---  300.0    ---    ---   49.1
2024.04.08 (099) 03:00:05     100  6.700   ---   ---  311.2    ---    ---   59.4
2024.04.08 (099) 03:05:05     100  6.500   ---   ---  314.0    ---    ---   59.5
2024.04.08 (099) 03:10:05     100  6.500   ---   ---  323.0    ---    ---   65.1
2024.04.08 (099) 03:15:05     100  6.300   ---   ---  317.2    ---    ---   55.4
2024.04.08 (099) 03:20:05     100  6.100   ---   ---  317.6    ---    ---   52.9
2024.04.08 (099) 03:25:05     100  5.900   ---   ---  311.6    ---    ---   46.0
2024.04.08 (099) 03:30:05     100  6.000   ---   ---  337.2    ---    ---   54.5
2024.04.08 (099) 03:35:05     100  6.100   ---   ---  354.5    ---    ---   61.4
2024.04.08 (099) 03:40:05     100  6.100   ---   ---  361.3    ---    ---   59.0
2024.04.08 (099) 03:45:05     100  6.000   ---   ---  352.7    ---    ---   50.5
2024.04.08 (099) 03:50:05     100  5.900   ---   ---  345.2    ---    ---   44.0
2024.04.08 (099) 03:55:05     100  5.900   ---   ---  343.4    ---    ---   43.7
2024.04.08 (099) 04:00:05     100  6.000   ---   ---  353.8    ---    ---   48.3
2024.04.08 (099) 04:05:05     100  5.900   ---   ---  347.0    ---    ---   42.7
2024.04.08 (099) 04:10:05     100  5.900   ---   ---  348.8    ---    ---   45.3
2024.04.08 (099) 04:15:05     100  5.900   ---   ---  347.4    ---    ---   41.8
2024.04.08 (099) 04:20:05     100  5.900   ---   ---  349.4    ---    ---   42.1
2024.04.08 (099) 04:25:05     100  5.900   ---   ---  349.0    ---    ---   41.9
2024.04.08 (099) 04:30:05     100  5.900   ---   ---  353.2    ---    ---   42.5
2024.04.08 (099) 04:35:05     100  5.900   ---   ---  350.9    ---    ---   44.3
2024.04.08 (099) 04:40:05     100  5.900   ---   ---  348.6    ---    ---   42.4
2024.04.08 (099) 04:45:05     100  5.900   ---   ---  348.3    ---    ---   41.2
2024.04.08 (099) 04:50:05     100  5.900   ---   ---  348.0    ---    ---   44.4
2024.04.08 (099) 04:55:05     100  5.900   ---   ---  351.3    ---    ---   50.3
2024.04.08 (099) 05:00:05     100  5.900   ---   ---  354.9    ---    ---   54.0
2024.04.08 (099) 05:05:05     100  5.800   ---   ---  350.1    ---    ---   48.3
2024.04.08 (099) 05:10:05     100  5.800   ---   ---  350.6    ---    ---   48.6
2024.04.08 (099) 05:15:05     100  5.800   ---   ---  357.4    ---    ---   52.7
