# GIRO DIDBase Ionosonde Measurements
# URSI-Code AU930
# Location: GEO 30.4N 262.3E
# Austin, Texas, United States of America
# Instrument: Ionosonde, Model: DGS-256
#
# The Measurements in this file have been manually scaled by David Themens.
#
# All GIROmeasurements are released under CC-BY-NC-SA 4.0 license
# Please followthe Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of AU930 data provider
#
# Converted to CSV format for easier processing
#
UTC,foF2,foF1,foE,hmF2,hmF1,hmE
2024-04-08 00:00:05,11.15,3.65,2.12,286.5,180.3,102.9
2024-04-08 00:05:05,11.35,3.35,,296.1,171.9,
2024-04-08 00:10:05,11.25,2.8,,282.9,161.5,
2024-04-08 00:15:05,11.35,2.92,,286.6,169.5,
2024-04-08 00:20:05,11.3,,,286.7,,
2024-04-08 00:25:05,11.35,,,281.9,,
2024-04-08 00:30:05,11.25,,,281.3,,
2024-04-08 00:35:05,11.15,,,276.8,,
2024-04-08 00:40:05,11.15,,,281.4,,
2024-04-08 00:45:05,11.25,,,284.3,,
2024-04-08 00:50:05,11.0,,,277.1,,
2024-04-08 00:55:05,10.95,,,278.4,,
2024-04-08 01:00:05,10.8,,,282.7,,
2024-04-08 01:05:05,10.8,,,282.5,,
2024-04-08 01:10:05,10.6,,,274.2,,
2024-04-08 01:15:05,10.5,,,274.1,,
2024-04-08 01:20:05,10.4,,,277.8,,
2024-04-08 01:25:05,10.2,,,281.1,,
2024-04-08 01:30:05,10.0,,,282.5,,
2024-04-08 01:35:05,9.8,,,284.0,,
2024-04-08 01:40:05,9.6,,,277.7,,
2024-04-08 01:45:05,9.4,,,281.0,,
2024-04-08 01:50:05,9.1,,,281.2,,
2024-04-08 01:55:05,8.9,,,278.2,,
2024-04-08 02:00:05,8.8,,,276.3,,
2024-04-08 02:05:05,8.6,,,279.2,,
2024-04-08 02:10:05,8.5,,,284.1,,
2024-04-08 02:15:05,8.2,,,279.0,,
2024-04-08 02:20:05,8.0,,,280.6,,
2024-04-08 02:25:05,7.8,,,278.0,,
2024-04-08 02:30:05,7.5,,,281.8,,
2024-04-08 02:35:05,7.3,,,287.0,,
2024-04-08 02:40:05,7.2,,,296.9,,
