utc,manualBeatNote_TDOA_ms,autoCorrelation_TDOA_ms
2024-04-08 14:07:00,1.69,1.728
2024-04-08 14:13:00,1.8,1.737
2024-04-08 14:23:00,1.84,1.804
2024-04-08 14:33:00,1.86,1.785
2024-04-08 14:43:00,1.86,1.87
2024-04-08 14:53:00,1.94,1.775
2024-04-08 14:54:00,1.9,1.879
2024-04-08 15:03:00,1.88,1.841
2024-04-08 15:13:00,2.04,1.898
2024-04-08 15:23:00,2.04,2.002
2024-04-08 15:33:00,2.04,1.804
2024-04-08 15:43:00,2.08,2.04
2024-04-08 15:54:00,2.08,
2024-04-08 16:03:00,2.02,2.03
2024-04-08 16:13:00,1.94,1.945
2024-04-08 16:23:00,1.92,2.011
2024-04-08 16:33:00,1.97,1.926
2024-04-08 16:44:00,1.97,1.879
2024-04-08 16:53:00,1.86,1.926
2024-04-08 17:03:00,1.9,1.841
2024-04-08 17:13:00,1.91,1.86
2024-04-08 17:23:00,1.9,1.974
2024-04-08 17:33:00,1.91,2.077
2024-04-08 17:43:00,1.82,1.766
2024-04-08 17:53:00,1.91,1.851
2024-04-08 18:03:00,1.84,1.775
2024-04-08 18:13:00,1.84,
2024-04-08 18:23:00,1.76,1.709
2024-04-08 18:25:00,1.93,
2024-04-08 18:33:00,1.97,1.898
2024-04-08 18:40:00,1.97,
2024-04-08 18:43:00,1.99,1.813
2024-04-08 18:45:00,2.05,
2024-04-08 18:53:00,2.01,
2024-04-08 18:54:00,2.0,
2024-04-08 19:01:00,1.99,1.889
2024-04-08 19:02:00,2.02,
2024-04-08 19:03:00,2.02,1.889
2024-04-08 19:05:00,2.02,
2024-04-08 19:13:00,2.01,
2024-04-08 19:20:00,1.97,2.04
2024-04-08 19:22:00,1.96,
2024-04-08 19:26:00,1.92,1.917
2024-04-08 19:34:00,1.93,
2024-04-08 19:35:00,1.95,1.945
2024-04-08 19:43:00,1.91,
2024-04-08 19:53:00,1.9,1.785
2024-04-08 20:06:00,1.91,1.79
2024-04-08 20:13:00,1.89,
