# This is a manual autocorrelation analysis done by J. Thomas McMahan K1FR.
# tdoa_ms data in this CSV is taken from VERIFIED_2024-04-08_TX_WA5FRF_EL09nn-RX_AB5YO_EL09so-40m_TDOA.xlsx
# tdoa_hgt_km computed using model below.
# Model: tdoa_hgt_km = 150*tdoa_ms+0,,
#
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 7.2 MHz
# Sweep Rate: 10 Hz/ms
#
utc,tdoa_ms,tdoa_hgt_km
2024-04-08 14:07,1.7,255
2024-04-08 14:13,1.728,259.2
2024-04-08 14:23,1.737,260.55
2024-04-08 14:33,1.804,270.6
2024-04-08 14:43,1.785,267.75
2024-04-08 14:53,1.87,280.5
2024-04-08 14:54,1.775,266.25
2024-04-08 15:03,1.879,281.85
2024-04-08 15:13,1.841,276.15
2024-04-08 15:23,1.898,284.7
2024-04-08 15:33,2.002,300.3
2024-04-08 15:43,1.804,270.6
2024-04-08 15:54,2.04,306
2024-04-08 16:13,2.03,304.5
2024-04-08 16:23,1.945,291.75
2024-04-08 16:33,2.011,301.65
2024-04-08 16:44,1.926,288.9
2024-04-08 16:53,1.879,281.85
2024-04-08 17:03,1.926,288.9
2024-04-08 17:13,1.841,276.15
2024-04-08 17:23,1.86,279
2024-04-08 17:33,1.974,296.1
2024-04-08 17:53,2.077,311.55
2024-04-08 18:03,1.766,264.9
2024-04-08 18:13,1.851,277.65
2024-04-08 18:23,1.775,266.25
2024-04-08 18:33,1.709,256.35
2024-04-08 18:43,1.898,284.7
2024-04-08 18:53,1.813,271.95
2024-04-08 19:03,1.889,283.35
2024-04-08 19:13,1.889,283.35
2024-04-08 19:26,2.04,306
2024-04-08 19:35,1.917,287.55
2024-04-08 19:53,1.945,291.75
2024-04-08 20:13,1.785,267.75
