# This is a manual analysis done by Samuel Blackshear AB5YO
# Data in this CSV is taken from Austin 20240408 DThemens AB5YO TDOA (version 1).xlsx
#
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 7 MHz
# Sweep Rate: 10 Hz/ms
#
utc,tdoa_hgt_km
4/8/24 14:07,257
4/8/24 14:13,252
4/8/24 14:23,269
4/8/24 14:33,276
4/8/24 14:43,280
4/8/24 14:53,280
4/8/24 14:54,291
4/8/24 15:03,285
4/8/24 15:13,282
4/8/24 15:23,306
4/8/24 15:33,306
4/8/24 15:43,306
4/8/24 15:59,313
4/8/24 16:03,313
4/8/24 16:13,303
4/8/24 16:23,291
4/8/24 16:44,287
4/8/24 16:53,296
4/8/24 17:03,296
4/8/24 17:13,273
4/8/24 17:23,287
4/8/24 17:33,287
4/8/24 17:43,286
4/8/24 17:53,293
4/8/24 18:03,278
4/8/24 18:13,284
4/8/24 18:23,276
4/8/24 18:25,276
4/8/24 18:33,268
4/8/24 18:40,290
4/8/24 18:43,295
4/8/24 18:45,297
4/8/24 18:53,300
4/8/24 18:54,304
4/8/24 19:01,300
4/8/24 19:02,300
4/8/24 19:03,300
4/8/24 19:05,302
4/8/24 19:13,302
4/8/24 19:20,300
4/8/24 19:22,303
4/8/24 19:26,297
4/8/24 19:34,294
4/8/24 19:35,292
4/8/24 19:43,293
4/8/24 19:53,293
4/8/24 20:13,276
