# This is a manual analysis done by Samuel Blackshear AB5YO
# Data in this CSV is taken from Austin 20240408 DThemens AB5YO TDOA (version 1).xlsx
#
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 7.2 MHz
# Sweep Rate: 10 Hz/ms
#
utc,tdoa_hgt_km
2024-04-08 14:07,257
2024-04-08 14:13,252
2024-04-08 14:23,269
2024-04-08 14:33,276
2024-04-08 14:43,280
2024-04-08 14:53,280
2024-04-08 14:54,291
2024-04-08 15:03,285
2024-04-08 15:13,282
2024-04-08 15:23,306
2024-04-08 15:33,306
2024-04-08 15:43,306
2024-04-08 15:59,313
2024-04-08 16:03,313
2024-04-08 16:13,303
2024-04-08 16:23,291
2024-04-08 16:44,287
2024-04-08 16:53,296
2024-04-08 17:03,296
2024-04-08 17:13,273
2024-04-08 17:23,287
2024-04-08 17:33,287
2024-04-08 17:43,286
2024-04-08 17:53,293
2024-04-08 18:03,278
2024-04-08 18:13,284
2024-04-08 18:23,276
2024-04-08 18:25,276
2024-04-08 18:33,268
2024-04-08 18:40,290
2024-04-08 18:43,295
2024-04-08 18:45,297
2024-04-08 18:53,300
2024-04-08 18:54,304
2024-04-08 19:01,300
2024-04-08 19:02,300
2024-04-08 19:03,300
2024-04-08 19:05,302
2024-04-08 19:13,302
2024-04-08 19:20,300
2024-04-08 19:22,303
2024-04-08 19:26,297
2024-04-08 19:34,294
2024-04-08 19:35,292
2024-04-08 19:43,293
2024-04-08 19:53,293
2024-04-08 20:13,276
