# This is a manual autocorrelation analysis done by J. Thomas McMahan K1FR.
# tdoa_ms data in this CSV is taken from VERIFIED_2024-04-08_TX_WA5FRF_EL09nn-RX_AB5YO_EL09so-60m_TDOA.xlsm
# tdoa_hgt_km computed using model below.
# Model: tdoa_hgt_km = 150*tdoa_ms+0
#
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 5 MHz
# Sweep Rate: 10 Hz/ms
#
utc,tdoa_ms,tdoa_hgt_km
2024-04-08 14:09,1.5625,234.375
2024-04-08 14:15,1.635,245.25
2024-04-08 14:25,1.635,245.25
2024-04-08 14:36,1.688,253.2
2024-04-08 14:46,1.51,226.5
2024-04-08 14:56,1.802,270.3
2024-04-08 15:06,1.583,237.45
2024-04-08 15:16,1.938,290.7
2024-04-08 15:26,1.635,245.25
2024-04-08 15:46,1.656,248.4
2024-04-08 15:56,1.781,267.15
2024-04-08 16:06,1.906,285.9
2024-04-08 16:16,1.875,281.25
2024-04-08 16:26,1.917,287.55
2024-04-08 16:36,1.635,245.25
2024-04-08 16:47,1.885,282.75
2024-04-08 16:56,1.698,254.7
2024-04-08 17:06,1.552,232.8
2024-04-08 17:16,1.76,264
2024-04-08 17:26,1.938,290.7
2024-04-08 17:36,1.979,296.85
2024-04-08 17:46,1.958,293.7
2024-04-08 17:56,2.104,315.6
2024-04-08 18:06,2.104,315.6
2024-04-08 18:16,1.896,284.4
2024-04-08 18:26,1.771,265.65
2024-04-08 18:36,1.802,270.3
2024-04-08 18:46,1.885,282.75
2024-04-08 18:56,1.875,281.25
2024-04-08 19:06,1.74,261
2024-04-08 19:16,1.844,276.6
2024-04-08 19:23,1.792,268.8
2024-04-08 19:28,1.865,279.75
2024-04-08 19:36,1.948,292.2
2024-04-08 19:46,1.583,237.45
2024-04-08 19:56,1.563,234.45
2024-04-08 20:08,1.635,245.25
2024-04-08 20:16,1.635,245.25
