# This is a manual autocorrelation analysis done by J. Thomas McMahan K1FR.,,
# tdoa_ms data in this CSV is taken from VERIFIED_2024-04-08_TX_WA5FRF_EL09nn-RX_AB5YO_EL09so-60m_TDOA.xlsm,,
# tdoa_hgt_km computed using model below.,,
# Model: tdoa_hgt_km = 150*tdoa_ms+0,,
#,,
# TX: WA5FRF,,
# TX Grid Square: EL09nn,,
# RX: AB5YO,,
# RX Grid Square: EL09mn,,
# Frequency: 5 MHz,,
# Sweep Rate: 10 Hz/ms,,
#,,
utc,tdoa_ms,tdoa_hgt_km
14:09,1.5625,234.375
14:15,1.635,245.25
14:25,1.635,245.25
14:36,1.688,253.2
14:46,1.51,226.5
14:56,1.802,270.3
15:06,1.583,237.45
15:16,1.938,290.7
15:26,1.635,245.25
15:46,1.656,248.4
15:56,1.781,267.15
16:06,1.906,285.9
16:16,1.875,281.25
16:26,1.917,287.55
16:36,1.635,245.25
16:47,1.885,282.75
16:56,1.698,254.7
17:06,1.552,232.8
17:16,1.76,264
17:26,1.938,290.7
17:36,1.979,296.85
17:46,1.958,293.7
17:56,2.104,315.6
18:06,2.104,315.6
18:16,1.896,284.4
18:26,1.771,265.65
18:36,1.802,270.3
18:46,1.885,282.75
18:56,1.875,281.25
19:06,1.74,261
19:16,1.844,276.6
19:23,1.792,268.8
19:28,1.865,279.75
19:36,1.948,292.2
19:46,1.583,237.45
19:56,1.563,234.45
20:08,1.635,245.25
20:16,1.635,245.25
