# This is a manual analysis done by Steve Cerwin WA5FRF
# Data in this CSV is taken from Austin 20240408 DThemens AB5YO TDOA (version 1).xlsx
#
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 5 MHz
# Sweep Rate: 10 Hz/ms
#
utc,tdoa_hgt_km
4/8/24 14:09,242
4/8/24 14:15,228
4/8/24 14:25,238
4/8/24 14:36,231
4/8/24 14:46,246
4/8/24 14:56,242
4/8/24 15:06,246
4/8/24 15:16,250
4/8/24 15:26,240
4/8/24 15:36,250
4/8/24 15:46,247
4/8/24 15:56,259
4/8/24 16:06,244
4/8/24 16:16,273
4/8/24 16:26,262
4/8/24 16:36,248
4/8/24 16:47,278
4/8/24 16:56,300
4/8/24 17:06,259
4/8/24 17:16,270
4/8/24 17:26,288
4/8/24 17:36,278
4/8/24 17:46,287
4/8/24 17:56,300
4/8/24 18:06,314
4/8/24 18:16,292
4/8/24 18:26,287
4/8/24 18:36,276
4/8/24 18:46,262
4/8/24 18:56,283
4/8/24 19:06,285
4/8/24 19:16,283
4/8/24 19:23,280
4/8/24 19:28,274
4/8/24 19:36,257
4/8/24 19:46,248
4/8/24 19:56,236
4/8/24 20:08,248
4/8/24 20:16,252
