# This is a manual analysis done by Steve Cerwin WA5FRF
# Data in this CSV is taken from Austin 20240408 DThemens AB5YO TDOA (version 1).xlsx
#
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 5.3 MHz
# Sweep Rate: 10 Hz/ms
#
utc,tdoa_hgt_km
2024-04-08 14:09,242
2024-04-08 14:15,228
2024-04-08 14:25,238
2024-04-08 14:36,231
2024-04-08 14:46,246
2024-04-08 14:56,242
2024-04-08 15:06,246
2024-04-08 15:16,250
2024-04-08 15:26,240
2024-04-08 15:36,250
2024-04-08 15:46,247
2024-04-08 15:56,259
2024-04-08 16:06,244
2024-04-08 16:16,273
2024-04-08 16:26,262
2024-04-08 16:36,248
2024-04-08 16:47,278
2024-04-08 16:56,300
2024-04-08 17:06,259
2024-04-08 17:16,270
2024-04-08 17:26,288
2024-04-08 17:36,278
2024-04-08 17:46,287
2024-04-08 17:56,300
2024-04-08 18:06,314
2024-04-08 18:16,292
2024-04-08 18:26,287
2024-04-08 18:36,276
2024-04-08 18:46,262
2024-04-08 18:56,283
2024-04-08 19:06,285
2024-04-08 19:16,283
2024-04-08 19:23,280
2024-04-08 19:28,274
2024-04-08 19:36,257
2024-04-08 19:46,248
2024-04-08 19:56,236
2024-04-08 20:08,248
2024-04-08 20:16,252
