utc,manualBeatNote_TDOA_ms,autoCorrelation_TDOA_ms
2024-04-08 14:09:00,1.52,1.635
2024-04-08 14:15:00,1.59,1.635
2024-04-08 14:25:00,1.54,1.688
2024-04-08 14:36:00,1.64,1.51
2024-04-08 14:46:00,1.61,1.802
2024-04-08 14:56:00,1.64,1.583
2024-04-08 15:06:00,1.67,1.938
2024-04-08 15:16:00,1.6,1.635
2024-04-08 15:26:00,1.67,1.656
2024-04-08 15:36:00,1.64,1.781
2024-04-08 15:46:00,1.72,1.906
2024-04-08 15:56:00,1.63,1.875
2024-04-08 16:06:00,1.82,1.917
2024-04-08 16:16:00,1.75,1.635
2024-04-08 16:26:00,1.65,1.885
2024-04-08 16:36:00,1.85,1.698
2024-04-08 16:47:00,2.0,1.552
2024-04-08 16:56:00,1.72,1.76
2024-04-08 17:06:00,1.8,1.938
2024-04-08 17:16:00,1.92,1.979
2024-04-08 17:26:00,1.85,1.958
2024-04-08 17:36:00,1.92,2.104
2024-04-08 17:46:00,2.0,2.104
2024-04-08 17:56:00,2.09,1.896
2024-04-08 18:06:00,1.96,1.969
2024-04-08 18:16:00,1.92,1.771
2024-04-08 18:26:00,1.85,1.802
2024-04-08 18:36:00,1.75,1.885
2024-04-08 18:46:00,1.89,1.875
2024-04-08 18:56:00,1.89,1.74
2024-04-08 19:06:00,1.89,1.844
2024-04-08 19:16:00,1.85,1.792
2024-04-08 19:23:00,1.82,1.865
2024-04-08 19:28:00,1.72,1.948
2024-04-08 19:36:00,1.65,1.583
2024-04-08 19:46:00,1.57,1.563
2024-04-08 19:56:00,1.65,1.635
2024-04-08 20:08:00,1.68,1.615
2024-04-08 20:16:00,1.77,1.553
