utc,manualBeatNote_TDOA_ms,autoCorrelation_TDOA_ms
2024-04-08 14:13:00,1.59,1.681
2024-04-08 14:23:00,1.72,1.719
2024-04-08 14:33:00,1.88,1.473
2024-04-08 14:43:00,1.89,
2024-04-08 14:54:00,1.82,2.03
2024-04-08 15:03:00,1.9,1.879
2024-04-08 15:13:00,1.96,1.719
2024-04-08 15:23:00,1.95,2.106
2024-04-08 15:43:00,1.89,
2024-04-08 15:53:00,1.96,1.851
2024-04-08 16:03:00,1.94,1.785
2024-04-08 16:13:00,2.02,2.068
2024-04-08 16:23:00,1.89,1.898
2024-04-08 16:33:00,1.8,1.775
2024-04-08 16:44:00,1.82,
2024-04-08 17:23:00,1.89,1.719
2024-04-08 17:33:00,1.67,
2024-04-08 17:43:00,1.76,1.605
2024-04-08 17:53:00,1.83,1.804
2024-04-08 18:03:00,1.85,
2024-04-08 18:13:00,1.75,1.87
2024-04-08 18:24:00,1.87,1.86
2024-04-08 18:33:00,1.75,1.917
2024-04-08 18:45:00,1.97,2.002
2024-04-08 18:54:00,1.98,
2024-04-08 19:04:00,1.87,2.162
2024-04-08 19:21:00,2.04,
2024-04-08 19:26:00,1.92,2.068
2024-04-08 19:34:00,1.85,1.936
2024-04-08 19:43:00,1.72,1.974
2024-04-08 19:53:00,1.92,1.964
2024-04-08 20:13:00,1.71,1.7
