# This is a manual analysis done by Steve Cerwin WA5FRF,,
"# Data in this CSV is taken from ""N5DUP 40m-60m SAC Audacity.xlsx""",,
#,,
# TX: WA5FRF,,
# TX Grid Square: EL09nn,,
# RX: N5DUP,,
# RX Grid Square: EM02ch,,
# Frequency: 7 MHz,,
# Sweep Rate: 10 Hz/ms,,
# ,,
# Model: tdoa_hgt_km = 142*tdoa_ms+36.1,,
#,,
utc,tdoa_ms,tdoa_hgt_km
4/8/24 14:13,1.62,266.14
4/8/24 14:23,1.59,261.88
4/8/24 14:33,1.72,280.34
4/8/24 14:43,1.88,303.06
4/8/24 14:54,1.89,304.48
4/8/24 15:03,1.82,294.54
4/8/24 15:13,1.9,305.9
4/8/24 15:23,1.96,314.42
4/8/24 15:33,1.95,313
4/8/24 15:43,1.89,304.48
4/8/24 15:53,1.96,314.42
4/8/24 16:03,1.94,322.94
4/8/24 16:13,2.02,322.94
4/8/24 16:23,1.89,304.48
4/8/24 16:33,1.8,291.7
4/8/24 16:44,1.82,294.54
4/8/24 17:23,1.89,304.48
4/8/24 17:33,1.67,273.24
4/8/24 17:43,1.76,286.02
4/8/24 17:53,1.83,295.96
4/8/24 18:03,1.85,298.8
4/8/24 18:13,1.75,284.6
4/8/24 18:24,1.87,301.64
4/8/24 18:33,1.75,284.6
4/8/24 18:45,1.97,315.84
4/8/24 18:54,1.98,317.26
4/8/24 19:04,1.87,301.64
4/8/24 19:21,2.04,325.78
4/8/24 19:26,1.92,308.74
4/8/24 19:34,1.85,298.8
4/8/24 19:43,1.72,280.34
4/8/24 19:53,1.92,308.74
4/8/24 20:13,1.71,278.92
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
