# This is a manual analysis done by Steve Cerwin WA5FRF
# Data in this CSV is taken from N5DUP 40m-60m SAC Audacity.xlsx
#
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: N5DUP
# RX Grid Square: EM02ch
# Frequency: 7 MHz
# Sweep Rate: 10 Hz/ms
# 
# Model: tdoa_hgt_km = 142*tdoa_ms+36.1
#
utc,tdoa_ms,tdoa_hgt_km
2024-04-08 14:13,1.62,266.14
2024-04-08 14:23,1.59,261.88
2024-04-08 14:33,1.72,280.34
2024-04-08 14:43,1.88,303.06
2024-04-08 14:54,1.89,304.48
2024-04-08 15:03,1.82,294.54
2024-04-08 15:13,1.9,305.9
2024-04-08 15:23,1.96,314.42
2024-04-08 15:33,1.95,313
2024-04-08 15:43,1.89,304.48
2024-04-08 15:53,1.96,314.42
2024-04-08 16:03,1.94,322.94
2024-04-08 16:13,2.02,322.94
2024-04-08 16:23,1.89,304.48
2024-04-08 16:33,1.8,291.7
2024-04-08 16:44,1.82,294.54
2024-04-08 17:23,1.89,304.48
2024-04-08 17:33,1.67,273.24
2024-04-08 17:43,1.76,286.02
2024-04-08 17:53,1.83,295.96
2024-04-08 18:03,1.85,298.8
2024-04-08 18:13,1.75,284.6
2024-04-08 18:24,1.87,301.64
2024-04-08 18:33,1.75,284.6
2024-04-08 18:45,1.97,315.84
2024-04-08 18:54,1.98,317.26
2024-04-08 19:04,1.87,301.64
2024-04-08 19:21,2.04,325.78
2024-04-08 19:26,1.92,308.74
2024-04-08 19:34,1.85,298.8
2024-04-08 19:43,1.72,280.34
2024-04-08 19:53,1.92,308.74
2024-04-08 20:13,1.71,278.92
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
