utc,manualBeatNote_TDOA_ms,manualBeatNote_height_km,autoCorrelation_TDOA_ms,autoCorrelation_height_km
2024-04-08 14:13:00,1.59,261.88,1.681,274.802
2024-04-08 14:23:00,1.72,280.34000000000003,1.719,280.19800000000004
2024-04-08 14:33:00,1.88,303.06,1.473,245.26600000000002
2024-04-08 14:43:00,1.89,304.48,,
2024-04-08 14:54:00,1.82,294.54,2.03,324.36
2024-04-08 15:03:00,1.9,305.90000000000003,1.879,302.918
2024-04-08 15:13:00,1.96,314.42,1.719,280.19800000000004
2024-04-08 15:23:00,1.95,313.0,2.106,335.152
2024-04-08 15:43:00,1.89,304.48,,
2024-04-08 15:53:00,1.96,314.42,1.851,298.942
2024-04-08 16:03:00,1.94,311.58000000000004,1.785,289.57
2024-04-08 16:13:00,2.02,322.94,2.068,329.75600000000003
2024-04-08 16:23:00,1.89,304.48,1.898,305.616
2024-04-08 16:33:00,1.8,291.7,1.775,288.15
2024-04-08 16:44:00,1.82,294.54,,
2024-04-08 17:23:00,1.89,304.48,1.719,280.19800000000004
2024-04-08 17:33:00,1.67,273.24,,
2024-04-08 17:43:00,1.76,286.02,1.605,264.01
2024-04-08 17:53:00,1.83,295.96000000000004,1.804,292.26800000000003
2024-04-08 18:03:00,1.85,298.8,,
2024-04-08 18:13:00,1.75,284.6,1.87,301.64000000000004
2024-04-08 18:24:00,1.87,301.64000000000004,1.86,300.22
2024-04-08 18:33:00,1.75,284.6,1.917,308.314
2024-04-08 18:45:00,1.97,315.84000000000003,2.002,320.384
2024-04-08 18:54:00,1.98,317.26000000000005,,
2024-04-08 19:04:00,1.87,301.64000000000004,2.162,343.104
2024-04-08 19:21:00,2.04,325.78000000000003,,
2024-04-08 19:26:00,1.92,308.74,2.068,329.75600000000003
2024-04-08 19:34:00,1.85,298.8,1.936,311.012
2024-04-08 19:43:00,1.72,280.34000000000003,1.974,316.408
2024-04-08 19:53:00,1.92,308.74,1.964,314.988
2024-04-08 20:13:00,1.71,278.92,1.7,277.5
