# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDB GetValues on 20245386-15T20:24:58.703Z
#
# Location: GEO 30.4N 262.3E, URSI-Code AU930 AUSTIN
# Instrument: Ionosonde, Model: DGS-256
#
# Query for measurement intervals of time:
# 2024-04-08T00:0Z -2024-045391T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
#
# All GIROmeasurements are released under CC-BY-NC-SA 4.0 license
# Please followthe Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of AU930 data provider
#
DateTime,hmF2,hmF2_CS,hmF1,hmF1_CS,hmE,hmE_CS,foF2,foF2_CS,foF1,foF1_CS,foE,foE_CS
2024-04-08 00:00:00,267.3,50.0,,,110.0,50.0,10.6,50.0,,,,
2024-04-08 00:05:00,278.4,100.0,,,89.9,100.0,11.35,100.0,,,2.22,100.0
2024-04-08 00:10:00,260.0,100.0,,,110.0,100.0,10.35,100.0,,,,
2024-04-08 00:15:00,278.0,100.0,,,110.0,100.0,11.3,100.0,,,2.32,100.0
2024-04-08 00:20:00,272.0,100.0,,,110.0,100.0,11.3,100.0,,,,
2024-04-08 00:25:00,280.4,100.0,,,110.0,100.0,11.35,100.0,,,,
2024-04-08 00:30:00,272.7,70.0,,,110.0,70.0,11.15,70.0,,,,
2024-04-08 00:35:00,270.9,100.0,,,103.0,100.0,11.25,100.0,,,1.92,100.0
2024-04-08 00:40:00,272.6,100.0,,,111.9,100.0,11.1,100.0,,,1.32,100.0
2024-04-08 00:45:00,275.5,100.0,,,109.6,100.0,11.25,100.0,,,1.42,100.0
2024-04-08 00:46:00,,,,,,,,,,,,
2024-04-08 00:50:00,266.4,100.0,,,110.0,100.0,11.05,100.0,,,,
2024-04-08 00:55:00,265.7,70.0,,,,70.0,10.9,70.0,,,,
2024-04-08 01:00:00,272.5,100.0,,,,100.0,10.9,100.0,,,,
2024-04-08 01:05:00,303.7,100.0,,,,100.0,11.1,100.0,,,,
2024-04-08 01:10:00,269.1,100.0,,,,100.0,10.65,100.0,,,,
2024-04-08 01:15:00,266.7,100.0,,,,100.0,10.5,100.0,,,,
2024-04-08 01:20:00,274.0,100.0,,,,100.0,10.6,100.0,,,,
2024-04-08 01:25:00,287.5,70.0,,,,70.0,10.2,70.0,,,,
2024-04-08 01:30:00,295.8,100.0,,,,100.0,10.1,100.0,,,,
2024-04-08 01:35:00,287.1,100.0,,,,100.0,9.8,100.0,,,,
2024-04-08 01:40:00,264.7,100.0,,,,100.0,9.6,100.0,,,,
2024-04-08 01:45:00,283.8,100.0,,,,100.0,9.4,100.0,,,,
2024-04-08 01:50:00,269.5,100.0,,,,100.0,9.1,100.0,,,,
2024-04-08 01:55:00,270.9,100.0,,,,100.0,8.9,100.0,,,,
2024-04-08 02:00:00,269.1,100.0,,,,100.0,8.8,100.0,,,,
2024-04-08 02:05:00,269.7,100.0,,,,100.0,8.6,100.0,,,,
2024-04-08 02:10:00,254.9,100.0,,,,100.0,8.1,100.0,,,,
2024-04-08 02:15:00,262.8,100.0,,,,100.0,8.1,100.0,,,,
2024-04-08 02:20:00,271.8,100.0,,,,100.0,8.0,100.0,,,,
2024-04-08 02:25:00,260.0,100.0,,,,100.0,7.7,100.0,,,,
2024-04-08 02:30:00,249.2,100.0,,,,100.0,7.1,100.0,,,,
2024-04-08 02:35:00,276.4,100.0,,,,100.0,7.3,100.0,,,,
2024-04-08 02:40:00,283.5,100.0,,,,100.0,7.2,100.0,,,,
2024-04-08 02:45:00,291.4,100.0,,,,100.0,7.1,100.0,,,,
2024-04-08 02:50:00,315.0,100.0,,,,100.0,7.1,100.0,,,,
2024-04-08 02:55:00,305.3,100.0,,,,100.0,6.9,100.0,,,,
2024-04-08 03:00:00,272.8,100.0,,,,100.0,6.0,100.0,,,,
2024-04-08 03:05:00,305.2,100.0,,,,100.0,6.5,100.0,,,,
2024-04-08 03:10:00,320.1,100.0,,,,100.0,6.6,100.0,,,,
