utc,manualBeatNote_TDOA_ms,manualBeatNote_height_km,autoCorrelation_TDOA_ms,autoCorrelation_height_km
2024-04-08 14:09:00,1.52,228.0,1.635,245.25
2024-04-08 14:15:00,1.59,238.5,1.635,245.25
2024-04-08 14:25:00,1.54,231.0,1.688,253.2
2024-04-08 14:36:00,1.64,245.99999999999997,1.51,226.5
2024-04-08 14:46:00,1.61,241.50000000000003,1.802,270.3
2024-04-08 14:56:00,1.64,245.99999999999997,1.583,237.45
2024-04-08 15:06:00,1.67,250.5,1.938,290.7
2024-04-08 15:16:00,1.6,240.0,1.635,245.25
2024-04-08 15:26:00,1.67,250.5,1.656,248.39999999999998
2024-04-08 15:36:00,1.64,245.99999999999997,1.781,267.15
2024-04-08 15:46:00,1.72,258.0,1.906,285.9
2024-04-08 15:56:00,1.63,244.49999999999997,1.875,281.25
2024-04-08 16:06:00,1.82,273.0,1.917,287.55
2024-04-08 16:16:00,1.75,262.5,1.635,245.25
2024-04-08 16:26:00,1.65,247.5,1.885,282.75
2024-04-08 16:36:00,1.85,277.5,1.698,254.7
2024-04-08 16:47:00,2.0,300.0,1.552,232.8
2024-04-08 16:56:00,1.72,258.0,1.76,264.0
2024-04-08 17:06:00,1.8,270.0,1.938,290.7
2024-04-08 17:16:00,1.92,288.0,1.979,296.85
2024-04-08 17:26:00,1.85,277.5,1.958,293.7
2024-04-08 17:36:00,1.92,288.0,2.104,315.6
2024-04-08 17:46:00,2.0,300.0,2.104,315.6
2024-04-08 17:56:00,2.09,313.5,1.896,284.4
2024-04-08 18:06:00,1.96,294.0,1.969,295.35
2024-04-08 18:16:00,1.92,288.0,1.771,265.65
2024-04-08 18:26:00,1.85,277.5,1.802,270.3
2024-04-08 18:36:00,1.75,262.5,1.885,282.75
2024-04-08 18:46:00,1.89,283.5,1.875,281.25
2024-04-08 18:56:00,1.89,283.5,1.74,261.0
2024-04-08 19:06:00,1.89,283.5,1.844,276.6
2024-04-08 19:16:00,1.85,277.5,1.792,268.8
2024-04-08 19:23:00,1.82,273.0,1.865,279.75
2024-04-08 19:28:00,1.72,258.0,1.948,292.2
2024-04-08 19:36:00,1.65,247.5,1.583,237.45
2024-04-08 19:46:00,1.57,235.5,1.563,234.45
2024-04-08 19:56:00,1.65,247.5,1.635,245.25
2024-04-08 20:08:00,1.68,252.0,1.615,242.25
2024-04-08 20:16:00,1.77,265.5,1.553,232.95
