# Automated TDOA Analysis Results
#
# Generated: 2025-12-30 15:30:15
#
# Propagation Path Information:
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: N5DUP
# RX Grid Square: EM02ch
# Frequency: 7 MHz
# Ground Range: 318.0 km
#
# Propagation Mode: 2F2-1F2
#
# TDOA Model Coefficients:
# Model: mean_tdoa_hgt_km = 143.0*mean_tdoa_ms + 33.0
#
# Columns:
# utc - UTC timestamp (YYYY-mm-dd HH:MM)
# mean_tdoa_ms - Mean TDOA in milliseconds
# mean_tdoa_hgt_km - Mean layer height in kilometers (calculated from TDOA)
#
utc,mean_tdoa_ms,mean_tdoa_hgt_km
2024-04-08 14:13,1.61,262.88
2024-04-08 14:23,1.64,267.69
2024-04-08 14:33,1.68,273.47
2024-04-08 14:43,1.73,280.20
2024-04-08 14:54,1.88,302.33
2024-04-08 15:03,1.76,285.01
2024-04-08 15:13,1.80,290.57
2024-04-08 15:23,1.82,293.67
2024-04-08 15:43,1.82,292.71
2024-04-08 15:53,,
2024-04-08 16:03,1.90,305.21
2024-04-08 16:13,1.92,307.14
2024-04-08 16:23,1.79,288.86
2024-04-08 16:33,1.75,283.09
2024-04-08 16:44,1.86,299.44
2024-04-08 17:23,1.68,272.50
2024-04-08 17:33,1.71,277.74
2024-04-08 17:43,1.79,288.86
2024-04-08 17:53,1.74,281.88
2024-04-08 18:03,1.80,290.78
2024-04-08 18:13,1.81,291.74
2024-04-08 18:24,1.79,288.86
2024-04-08 18:33,1.70,276.35
2024-04-08 18:45,1.90,305.21
2024-04-08 18:54,1.91,305.93
2024-04-08 19:04,1.90,304.25
2024-04-08 19:21,1.85,296.83
2024-04-08 19:26,1.84,295.59
2024-04-08 19:34,1.88,301.36
2024-04-08 19:43,1.77,286.69
2024-04-08 19:53,1.89,303.29
2024-04-08 20:13,1.75,283.09
