UTC,hmE,hmF2
2024-04-08 14:00:05,101.2,263.0
2024-04-08 14:05:05,101.0,258.2
2024-04-08 14:10:05,110.0,253.2
2024-04-08 14:15:05,97.2,246.7
2024-04-08 14:20:05,97.4,249.7
2024-04-08 14:25:05,97.1,254.8
2024-04-08 14:30:05,89.6,249.8
2024-04-08 14:35:05,90.3,253.0
2024-04-08 14:40:05,110.0,252.0
2024-04-08 14:45:05,98.7,265.7
2024-04-08 14:50:05,110.0,275.6
2024-04-08 14:55:05,91.5,279.7
2024-04-08 15:00:05,88.5,275.5
2024-04-08 15:05:05,90.0,277.7
2024-04-08 15:10:05,102.3,279.2
2024-04-08 15:15:05,97.7,270.8
2024-04-08 15:20:05,89.8,263.5
2024-04-08 15:25:05,110.0,265.8
2024-04-08 15:30:05,100.0,283.6
2024-04-08 15:35:05,90.8,286.0
2024-04-08 15:40:05,93.8,298.1
2024-04-08 15:45:05,93.1,295.5
2024-04-08 15:50:05,110.0,297.2
2024-04-08 15:55:05,107.2,292.7
2024-04-08 16:00:05,110.0,295.6
2024-04-08 16:05:05,119.1,299.7
2024-04-08 16:10:05,97.2,296.4
2024-04-08 16:15:05,97.0,293.0
2024-04-08 16:20:05,101.5,288.3
2024-04-08 16:25:05,100.8,284.5
2024-04-08 16:30:05,108.4,280.7
2024-04-08 16:35:05,110.0,285.0
2024-04-08 16:40:05,110.0,298.6
2024-04-08 16:45:05,110.0,287.8
2024-04-08 16:50:05,101.1,286.5
2024-04-08 16:55:05,110.0,279.3
2024-04-08 17:00:05,103.4,283.8
2024-04-08 17:05:05,96.5,296.8
2024-04-08 17:10:05,110.0,289.1
2024-04-08 17:15:05,120.5,300.3
2024-04-08 17:20:05,110.0,291.9
2024-04-08 17:25:05,110.0,288.9
2024-04-08 17:30:05,101.2,300.4
2024-04-08 17:35:05,111.0,295.8
2024-04-08 17:40:05,110.0,289.4
2024-04-08 17:45:05,110.0,292.0
2024-04-08 17:50:05,110.0,300.7
2024-04-08 17:55:05,110.0,290.9
2024-04-08 18:00:05,97.5,307.4
2024-04-08 18:05:05,90.3,304.7
2024-04-08 18:10:05,97.8,292.8
2024-04-08 18:15:05,110.0,302.3
2024-04-08 18:20:05,105.3,313.6
2024-04-08 18:25:05,113.8,308.7
2024-04-08 18:30:05,119.6,300.0
2024-04-08 18:35:05,110.0,291.7
2024-04-08 18:40:05,110.0,302.4
2024-04-08 18:45:05,116.1,303.7
2024-04-08 18:50:05,108.6,301.0
2024-04-08 18:55:05,110.0,306.2
2024-04-08 19:00:05,110.0,298.3
2024-04-08 19:05:05,114.5,284.9
2024-04-08 19:10:05,100.9,291.4
2024-04-08 19:15:05,99.4,293.8
2024-04-08 19:20:05,93.7,292.5
2024-04-08 19:25:05,110.0,302.4
2024-04-08 19:30:05,120.2,286.6
2024-04-08 19:35:05,85.8,285.9
2024-04-08 19:40:05,93.4,276.5
2024-04-08 19:45:05,89.6,288.0
2024-04-08 19:50:05,110.0,286.5
2024-04-08 19:55:05,107.3,278.9
2024-04-08 20:00:05,110.0,275.9
2024-04-08 20:05:05,110.0,270.6
2024-04-08 20:10:05,101.9,280.7
2024-04-08 20:15:05,123.3,276.1
2024-04-08 20:20:05,93.6,273.1
2024-04-08 20:25:05,110.0,275.7
2024-04-08 20:30:05,99.1,279.2
2024-04-08 20:35:05,110.0,299.5
2024-04-08 20:40:05,105.3,290.9
2024-04-08 20:45:05,95.5,285.8
2024-04-08 20:50:05,118.5,278.9
2024-04-08 20:55:05,95.6,281.0
2024-04-08 21:00:05,110.0,288.8
2024-04-08 21:05:05,110.0,279.9
2024-04-08 21:10:05,108.6,281.0
2024-04-08 21:15:05,101.6,277.4
2024-04-08 21:20:05,93.3,277.0
2024-04-08 21:25:05,102.5,271.5
2024-04-08 21:30:05,110.0,276.9
