# Automated TDOA Analysis Results
#
# Generated: 2025-12-30 15:32:10
#
# Propagation Path Information:
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 5 MHz
# Ground Range: 8.1 km
#
# Propagation Mode: 2F2-1F2
#
# TDOA Model Coefficients:
# Model: mean_tdoa_hgt_km = 150.0*mean_tdoa_ms + 0.0
#
# Columns:
# utc - UTC timestamp (YYYY-mm-dd HH:MM)
# mean_tdoa_ms - Mean TDOA in milliseconds
# mean_tdoa_hgt_km - Mean layer height in kilometers (calculated from TDOA)
#
utc,mean_tdoa_ms,mean_tdoa_hgt_km
2024-04-08 14:09,1.57,235.20
2024-04-08 14:15,1.41,211.99
2024-04-08 14:25,1.58,237.22
2024-04-08 14:36,1.46,219.56
2024-04-08 14:46,1.54,231.16
2024-04-08 14:56,1.61,242.27
2024-04-08 15:06,1.57,235.20
2024-04-08 15:16,1.63,244.28
2024-04-08 15:26,1.50,225.11
2024-04-08 15:36,1.56,234.19
2024-04-08 15:46,1.55,233.18
2024-04-08 15:56,1.71,256.40
2024-04-08 16:06,1.64,245.29
2024-04-08 16:16,1.86,279.61
2024-04-08 16:26,1.81,271.54
2024-04-08 16:36,1.64,245.29
2024-04-08 16:47,1.31,195.84
2024-04-08 16:56,1.95,292.73
2024-04-08 17:06,1.68,251.35
2024-04-08 17:16,1.80,269.52
2024-04-08 17:26,1.87,280.40
2024-04-08 17:36,1.71,256.68
2024-04-08 17:46,1.88,282.64
2024-04-08 17:56,1.84,276.58
2024-04-08 18:06,1.84,276.58
2024-04-08 18:16,1.88,281.63
2024-04-08 18:26,1.87,280.62
2024-04-08 18:36,1.76,263.46
2024-04-08 18:46,1.72,258.41
2024-04-08 18:56,1.80,269.52
2024-04-08 19:06,1.77,265.48
2024-04-08 19:16,1.78,267.50
2024-04-08 19:23,1.80,270.53
2024-04-08 19:28,1.80,269.52
2024-04-08 19:36,1.73,259.42
2024-04-08 19:46,1.53,229.65
2024-04-08 19:56,1.53,230.15
2024-04-08 20:08,1.50,225.44
2024-04-08 20:16,1.66,249.33
