# Automated TDOA Analysis Results
#
# Generated: 2025-12-30 15:57:08
#
# Propagation Path Information:
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: N6RFM
# RX Grid Square: EM12jw
# Frequency: 7 MHz
# Ground Range: 407.3 km
#
# Propagation Mode: 2F2-1E
#
# TDOA Model Coefficients:
# Model: mean_tdoa_hgt_km = 79.3*mean_tdoa_ms + 85.7
#
# Columns:
# utc - UTC timestamp (YYYY-mm-dd HH:MM)
# mean_tdoa_ms - Mean TDOA in milliseconds
# mean_tdoa_hgt_km - Mean layer height in kilometers (calculated from TDOA)
#
utc,mean_tdoa_ms,mean_tdoa_hgt_km
2024-04-08 14:13,2.54,286.90
2024-04-08 14:22,2.56,289.07
2024-04-08 14:32,2.72,301.86
2024-04-08 14:42,2.53,286.59
2024-04-08 14:52,2.64,294.88
2024-04-08 15:02,2.93,318.12
2024-04-08 15:12,2.72,301.66
2024-04-08 15:22,2.34,271.65
2024-04-08 15:32,,
2024-04-08 15:42,2.49,283.27
2024-04-08 15:52,2.54,287.14
2024-04-08 16:02,2.69,298.76
2024-04-08 16:12,2.86,312.31
2024-04-08 16:22,2.71,300.69
2024-04-08 16:32,2.56,288.49
2024-04-08 16:42,2.59,291.01
2024-04-08 16:52,2.56,289.07
2024-04-08 17:02,2.62,293.72
2024-04-08 17:12,2.62,293.59
2024-04-08 17:22,2.54,287.33
2024-04-08 17:32,2.51,284.93
2024-04-08 17:42,2.60,291.98
2024-04-08 17:52,2.69,299.24
2024-04-08 18:02,2.58,290.24
2024-04-08 18:12,2.49,283.27
2024-04-08 18:22,2.67,297.79
2024-04-08 18:32,2.64,294.88
2024-04-08 18:39,2.55,287.91
2024-04-08 18:42,2.58,290.04
2024-04-08 18:52,2.71,300.69
2024-04-08 19:01,2.42,277.46
2024-04-08 19:02,2.61,292.95
2024-04-08 19:12,2.42,277.46
2024-04-08 19:21,2.50,284.43
2024-04-08 19:33,2.71,300.69
2024-04-08 19:42,2.49,283.27
2024-04-08 19:52,2.58,290.24
2024-04-08 20:05,2.47,281.52
2024-04-08 20:12,2.56,289.07
