# Automated TDOA Analysis Results
#
# Generated: 2025-12-31 12:22:30
#
# Propagation Path Information:
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: N6RFM
# RX Grid Square: EM12jw
# Frequency: 7 MHz
# Ground Range: 407.3 km
#
# Propagation Mode: 2F2-1F2
#
# TDOA Model Coefficients:
# Model: mean_tdoa_hgt_km = 141.0*mean_tdoa_ms + 46.6
#
# Columns:
# utc - UTC timestamp (YYYY-mm-dd HH:MM)
# mean_tdoa_ms - Mean TDOA in milliseconds
# mean_tdoa_hgt_km - Mean layer height in kilometers (calculated from TDOA)
#
utc,mean_tdoa_ms,mean_tdoa_hgt_km
2024-04-08 14:13,1.60,272.66
2024-04-08 14:22,1.33,233.43
2024-04-08 14:32,1.56,266.46
2024-04-08 14:42,1.68,284.02
2024-04-08 14:52,1.77,296.63
2024-04-08 15:02,1.29,227.81
2024-04-08 15:12,1.55,265.43
2024-04-08 15:22,1.77,296.63
2024-04-08 15:32,1.93,317.94
2024-04-08 15:42,1.55,264.40
2024-04-08 15:52,1.66,280.57
2024-04-08 16:02,1.25,223.10
2024-04-08 16:12,1.91,316.02
2024-04-08 16:22,1.75,293.31
2024-04-08 16:32,1.68,284.02
2024-04-08 16:42,1.84,305.95
2024-04-08 16:52,1.75,293.31
2024-04-08 17:02,1.62,274.98
2024-04-08 17:12,1.75,293.31
2024-04-08 17:22,1.72,289.18
2024-04-08 17:32,1.73,289.92
2024-04-08 17:42,1.46,253.04
2024-04-08 17:52,1.63,276.79
2024-04-08 18:02,1.49,256.14
2024-04-08 18:12,1.31,231.11
2024-04-08 18:22,1.42,246.16
2024-04-08 18:32,1.59,271.11
2024-04-08 18:39,1.56,266.81
2024-04-08 18:42,1.74,291.24
2024-04-08 18:52,1.81,302.37
2024-04-08 19:01,1.47,254.33
2024-04-08 19:02,1.70,286.08
2024-04-08 19:12,1.65,279.43
2024-04-08 19:21,1.68,284.02
2024-04-08 19:33,1.79,299.50
2024-04-08 19:42,1.73,289.75
2024-04-08 19:52,1.81,302.08
2024-04-08 20:05,1.36,238.59
2024-04-08 20:12,1.65,278.85
