# Automated TDOA Analysis Results
#
# Generated: 2026-01-23 13:49:14
#
# Propagation Path Information:
# TX: WA5FRF
# TX Grid Square: EL09nn
# RX: AB5YO
# RX Grid Square: EL09mn
# Frequency: 7.2 MHz
# Ground Range: 8.1 km
#
# Propagation Mode: 3F2-1F2
#
# TDOA Model Coefficients:
# Model: mean_tdoa_hgt_km = 75.0*mean_tdoa_ms + 0.0
#
# Columns:
# utc - UTC timestamp (YYYY-mm-dd HH:MM)
# mean_tdoa_ms - Mean TDOA in milliseconds
# mean_tdoa_hgt_km - Mean layer height in kilometers (calculated from TDOA)
#
utc,mean_tdoa_ms,mean_tdoa_hgt_km
2024-04-08 14:07,3.44,257.90
2024-04-08 14:13,3.46,259.42
2024-04-08 14:23,3.40,254.88
2024-04-08 14:33,3.58,268.50
2024-04-08 14:43,3.61,270.52
2024-04-08 14:53,3.69,276.58
2024-04-08 14:54,3.75,281.62
2024-04-08 15:03,3.87,290.20
2024-04-08 15:13,3.81,285.66
2024-04-08 15:23,3.75,281.12
2024-04-08 15:33,4.01,300.80
2024-04-08 15:43,4.02,301.81
2024-04-08 15:54,4.09,306.86
2024-04-08 16:03,4.12,309.38
2024-04-08 16:13,4.15,310.89
2024-04-08 16:23,4.03,302.32
2024-04-08 16:33,3.93,294.75
2024-04-08 16:44,3.87,290.20
2024-04-08 16:53,3.88,290.71
2024-04-08 17:03,3.90,292.73
2024-04-08 17:13,3.67,275.06
2024-04-08 17:23,3.81,285.66
2024-04-08 17:33,3.78,283.64
2024-04-08 17:43,3.78,283.14
2024-04-08 17:53,3.91,293.23
2024-04-08 18:03,3.71,278.60
2024-04-08 18:13,3.79,284.15
2024-04-08 18:23,3.67,275.06
2024-04-08 18:25,3.68,276.07
2024-04-08 18:33,3.54,265.47
2024-04-08 18:40,3.75,281.62
2024-04-08 18:43,3.95,296.26
2024-04-08 18:45,4.00,299.79
2024-04-08 18:53,3.98,298.78
2024-04-08 18:54,3.98,298.28
2024-04-08 19:01,4.02,301.81
2024-04-08 19:02,4.02,301.31
2024-04-08 19:03,4.00,300.30
2024-04-08 19:05,3.98,298.28
2024-04-08 19:13,3.98,298.28
2024-04-08 19:20,4.00,300.30
2024-04-08 19:22,3.98,298.28
2024-04-08 19:26,4.02,301.81
2024-04-08 19:34,3.95,296.26
2024-04-08 19:35,3.96,297.27
2024-04-08 19:43,3.90,292.22
2024-04-08 19:53,3.89,291.72
2024-04-08 20:06,3.83,287.18
2024-04-08 20:13,3.76,282.13
